INDICATIVO;NOMBRE;PROVINCIA;MUNICIPIO;ALTITUD;LONGITUD;LATITUD;DATUM
7031;MURCIA/SAN JAVIER;MURCIA;SAN JAVIER;4;0048122;374720;ETRS89
9262;PAMPLONA OBSERVATORIO;NAVARRA;PAMPLONA/IRUÑA;450;0138182;424904;ETRS89
9263D;PAMPLONA/NOAIN;NAVARRA;GALAR;459;0139002;424637;ETRS89
1690A;OURENSE;OURENSE;OURENSE;143;0751352;421931;ETRS89
1484C;PONTEVEDRA;PONTEVEDRA;PONTEVEDRA;108;0836572;422618;ETRS89
1495;VIGO/PEINADOR;PONTEVEDRA;REDONDELA;261;0837262;421419;ETRS89
2867;SALAMANCA/MATACAN;SALAMANCA;CALVARRASA DE ABAJO;790;0529542;405734;ETRS89
2870;SALAMANCA,OBS.;SALAMANCA;SALAMANCA;775;0539442;405727;ETRS89
C929I;HIERRO/AEROPUERTO;SANTA CRUZ DE TENERIFE;VALVERDE;32;1753202;274908;REGCAN95
C430E;IZAÑA;SANTA CRUZ DE TENERIFE;LA OROTAVA;2371;1629582;281832;REGCAN95
C139E;LA PALMA/AEROPUERTO;SANTA CRUZ DE TENERIFE;BREÑA BAJA;33;1745182;283759;REGCAN95
C449C;STA.CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE;SANTA CRUZ DE TENERIFE;35;1615192;282748;REGCAN95
C447A;TENERIFE/LOS RODEOS;SANTA CRUZ DE TENERIFE;SAN CRISTÓBAL DE LA LAGUNA;632;1619462;282839;REGCAN95
C429I;TENERIFE/SUR;SANTA CRUZ DE TENERIFE;GRANADILLA DE ABONA;64;1633402;280249;REGCAN95
2465;SEGOVIA;SEGOVIA;SEGOVIA;1005;0407352;405643;ETRS89
5796;MORÓN DE LA FRONTERA;SEVILLA;ARAHAL;87;0536412;370952;ETRS89
5783;SEVILLA/SAN PABLO;SEVILLA;SEVILLA;34;0552452;372500;ETRS89
2030;SORIA;SORIA;SORIA;1082;0228592;414630;ETRS89
0016A;REUS/AEROPUERTO;TARRAGONA;REUS;71;0109491;410842;ETRS89
9981A;TORTOSA;TARRAGONA;ROQUETES;50;0029361;404913;ETRS89
9381I;CALAMOCHA;TERUEL;CALAMOCHA;890;0117362;405534;ETRS89
8368U;TERUEL;TERUEL;TERUEL;900;0107272;402102;ETRS89
3260B;TOLEDO;TOLEDO;TOLEDO;515;0402432;395305;ETRS89
8416;VALENCIA;VALENCIA;VALÈNCIA;11;0021592;392850;ETRS89
8414A;VALENCIA/AEROPUERTO;VALENCIA;MANISES;56;0028292;392906;ETRS89
2422;VALLADOLID;VALLADOLID;VALLADOLID;735;0445162;413827;ETRS89
2539;VALLADOLID/VILLANUBLA;VALLADOLID;VILLANUBLA;846;0451202;414243;ETRS89
2614;ZAMORA;ZAMORA;ZAMORA;656;0544072;413056;ETRS89
9390;DAROCA I;ZARAGOZA;DAROCA;779;0124362;410652;ETRS89
9434;ZARAGOZA/AEROPUERTO;ZARAGOZA;ZARAGOZA;249;0100152;413938;ETRS89
